,Title,published_date,Views,Likes,comments,Published_date,Comments,Month
270,Why You DON'T Want to be a WFH Data Scientist,2019-03-03T22:14:01Z,805,33,12,2019-03-03,12,Mar
271,Welcome To My Channel | Ken Jee | Data Science,2019-03-03T01:00:17Z,1437,36,8,2019-03-03,8,Mar
272,Where YOU Should Start With Data Science Projects,2019-02-19T03:23:50Z,16819,349,17,2019-02-19,17,Feb
273,Watch This Before Applying to Data Science Jobs,2019-02-04T23:40:34Z,1495,66,13,2019-02-04,13,Feb
274,My Top 5 Data Science Resources for 2019,2019-01-05T22:07:08Z,3701,122,17,2019-01-05,17,Jan
275,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18T02:01:15Z,832,36,6,2018-12-18,6,Dec
276,The Best Way to Predict NBA Minutes Played,2018-12-11T02:39:35Z,4264,107,14,2018-12-11,14,Dec
277,Demystifying Data Science Roles,2018-11-30T01:22:49Z,1136,53,5,2018-11-30,5,Nov
278,How to Simulate NBA Games in Python,2018-11-19T23:31:49Z,17680,390,54,2018-11-19,54,Nov
279,Should You Get A Masters in Data Science?,2018-11-14T01:39:33Z,20564,305,135,2018-11-14,135,Nov
280,How I Became A Data Scientist From a Business Background,2018-11-12T00:26:08Z,6462,196,23,2018-11-12,23,Nov
281,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10T16:39:52Z,8684,192,17,2018-07-10,17,Jul
282,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18T20:04:51Z,18919,293,41,2017-11-18,41,Nov
