,Title,published_date,Views,Likes,comments,Published_date,Comments,Month
142,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31T15:00:15Z,17854,795,93,2020-08-31,93,Aug
143,Why I'm Starting Data Science Over Again.,2020-08-29T15:30:10Z,50736,2605,450,2020-08-29,450,Aug
144,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26T15:00:03Z,15077,627,76,2020-08-26,76,Aug
145,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24T15:00:31Z,12823,457,55,2020-08-24,55,Aug
146,Don't Buy My Course..,2020-08-21T16:00:32Z,7333,358,146,2020-08-21,146,Aug
147,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19T15:00:11Z,29087,1114,166,2020-08-19,166,Aug
148,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17T15:00:07Z,3234,128,40,2020-08-17,40,Aug
149,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14T15:00:31Z,6311,537,108,2020-08-14,108,Aug
150,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12T15:30:26Z,4969,183,39,2020-08-12,39,Aug
151,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10T15:00:08Z,12109,381,53,2020-08-10,53,Aug
152,The Plagiarism Problem in Data Science,2020-08-07T15:00:16Z,13047,629,145,2020-08-07,145,Aug
153,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05T15:00:09Z,14395,602,89,2020-08-05,89,Aug
154,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03T15:00:08Z,4904,188,56,2020-08-03,56,Aug
155,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31T14:30:01Z,11381,580,90,2020-07-31,90,Jul
156,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30T01:00:10Z,2316,116,34,2020-07-30,34,Jul
157,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27T15:00:30Z,5593,251,112,2020-07-27,112,Jul
158,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24T15:00:11Z,8209,246,199,2020-07-24,199,Jul
159,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),2020-07-22T15:00:05Z,1854,98,27,2020-07-22,27,Jul
160,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),2020-07-20T15:00:08Z,29006,564,90,2020-07-20,90,Jul
161,Beginner Kaggle Data Science Project Walk-Through (Titanic),2020-07-17T16:00:05Z,325486,7248,423,2020-07-17,423,Jul
162,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,2020-07-16T02:00:09Z,30270,1125,121,2020-07-16,121,Jul
163,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),2020-07-13T16:00:01Z,3621,135,50,2020-07-13,50,Jul
164,The Best Computer for Data Science Beginners,2020-07-10T16:00:09Z,37888,853,157,2020-07-10,157,Jul
165,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,2020-07-08T21:00:09Z,6166,231,82,2020-07-08,82,Jul
166,Critiquing MY OWN Data Science Resume,2020-07-06T16:00:30Z,12628,396,88,2020-07-06,88,Jul
167,Where to Start Learning Data Science,2020-07-03T16:00:04Z,18733,783,126,2020-07-03,126,Jul
168,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",2020-07-01T15:00:12Z,4127,197,37,2020-07-01,37,Jul
169,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),2020-06-29T15:00:08Z,4581,176,52,2020-06-29,52,Jun
170,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,2020-06-26T15:00:10Z,16278,549,79,2020-06-26,79,Jun
171,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),2020-06-22T13:00:03Z,2410,82,40,2020-06-22,40,Jun
172,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",2020-06-20T02:09:18Z,2386,139,49,2020-06-20,49,Jun
173,Reviewing Your Data Science Projects - Episode 8 (College Student Help),2020-06-15T13:00:12Z,4352,169,46,2020-06-15,46,Jun
174,Why You're Struggling to Learn Data Science,2020-06-12T13:00:17Z,15242,1011,159,2020-06-12,159,Jun
175,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),2020-06-08T13:00:21Z,11661,357,70,2020-06-08,70,Jun
176,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],2020-06-05T13:00:26Z,23819,685,146,2020-06-05,146,Jun
177,Reviewing Your Data Science Projects - Episode 6 (Only 3 months of coding experience),2020-06-01T13:00:32Z,5702,154,53,2020-06-01,53,Jun
178,How to Build a Data Science Portfolio Website with Hugo & Github Pages [feat. Data Professor],2020-05-29T13:00:21Z,71806,2185,268,2020-05-29,268,May
179,Reviewing Your Data Science Projects - Episode 5 (Very Detailed Project),2020-05-25T13:00:13Z,20967,489,81,2020-05-25,81,May
180,Different Data Science Roles Explained (by a Data Scientist),2020-05-22T13:01:09Z,54900,1953,178,2020-05-22,178,May
181,Reviewing Your Data Science Projects - Episode 4 (Resume & Github),2020-05-18T13:00:22Z,11239,178,53,2020-05-18,53,May
182,How to Make A Data Science Portfolio Website with Github Pages,2020-05-15T13:30:00Z,128235,4383,193,2020-05-15,193,May
183,10000 Subscriber and 100th Video Special (Data Science),2020-05-13T13:00:17Z,3099,147,115,2020-05-13,115,May
184,Reviewing Your Data Science Projects - Episode 3 (Student Portfolio),2020-05-11T13:00:33Z,4508,153,74,2020-05-11,74,May
185,How I Would Learn Data Science (If I Had to Start Over),2020-05-08T13:00:03Z,1393679,49021,1996,2020-05-08,1996,May
186,Reviewing Your Data Science Projects - Episode 2 (Resume and Portfolio),2020-05-04T13:00:12Z,5527,196,42,2020-05-04,42,May
187,What You Need to Know for a Data Science Internship,2020-05-01T13:00:10Z,21901,1202,60,2020-05-01,60,May
188,Reviewing Your Data Science Projects - Episode 1 (Exploratory Analysis),2020-04-27T13:00:10Z,8348,349,54,2020-04-27,54,Apr
189,What It's Like to be a Socially Distanced Data Scientist (A Day in the Life),2020-04-24T13:00:32Z,14979,459,103,2020-04-24,103,Apr
190,Data Science in Sports - Talk for Northwestern (Kellogg) MBA Students,2020-04-22T13:00:30Z,3114,85,24,2020-04-22,24,Apr
191,5 Tips for Crushing the Work From Home Life,2020-04-20T13:00:04Z,5411,203,38,2020-04-20,38,Apr
192,Data Science Project from Scratch - Part 7 (Documenting Your Work),2020-04-17T13:00:04Z,21260,737,129,2020-04-17,129,Apr
193,Data Science Project from Scratch -  Part 6 (Putting the Model into Production),2020-04-15T13:00:32Z,29163,729,98,2020-04-15,98,Apr
194,Data Science Project from Scratch  - Part 5 (Model Building),2020-04-13T13:00:03Z,43731,900,154,2020-04-13,154,Apr
195,Data Science Project from Scratch - Part 4 (Exploratory Data Analysis),2020-04-10T13:00:15Z,71868,1877,213,2020-04-10,213,Apr
196,Data Science Project from Scratch - Part 3 (Data Cleaning),2020-04-08T13:00:19Z,80003,1752,277,2020-04-08,277,Apr
197,Data Science Project from Scratch - Part 2 (Data Collection),2020-04-06T13:00:07Z,126967,3467,621,2020-04-06,621,Apr
198,Data Science Project from Scratch - Part 1 (Project Planning),2020-04-03T13:00:12Z,195184,4986,174,2020-04-03,174,Apr
199,When Data Science Goes Wrong,2020-03-30T13:00:06Z,1802,105,32,2020-03-30,32,Mar
200,How to ULTRALEARN Data Science,2020-03-27T13:00:02Z,61794,3821,169,2020-03-27,169,Mar
201,Why Right NOW is a Great Time to Learn Data Science,2020-03-23T13:00:30Z,4410,267,50,2020-03-23,50,Mar
202,Data Science Project Example Start to Finish (Deep Learning Image Classifier),2020-03-20T13:00:22Z,12864,463,45,2020-03-20,45,Mar
203,The Secret Data Scientists Don't Want You to Know,2020-03-16T13:00:23Z,10738,1138,103,2020-03-16,103,Mar
204,The 5 Stages of Learning Data Science,2020-03-13T13:00:26Z,17459,1296,78,2020-03-13,78,Mar
205,Can You Learn Data Science Without a Computer?,2020-03-11T13:00:03Z,1672,114,14,2020-03-11,14,Mar
206,The Best Free Data Science Courses Nobody is Talking About,2020-03-09T13:00:04Z,345501,21189,622,2020-03-09,622,Mar
207,The Data Science Projects that Got Me a Job,2020-03-06T14:00:11Z,40767,1397,41,2020-03-06,41,Mar
208,How to Integrate Data Science into Your Business,2020-03-02T14:00:01Z,3375,129,18,2020-03-02,18,Mar
209,The Problem with Data Science,2020-02-28T14:00:07Z,3782,154,19,2020-02-28,19,Feb
210,How Much Did Cheating Help the Astros Win? (What the Numbers Say),2020-02-24T14:00:00Z,1163,46,16,2020-02-24,16,Feb
211,How to Set Up Your Data Science Environment (Anaconda Beginner),2020-02-21T14:00:02Z,126134,2432,97,2020-02-21,97,Feb
212,3 Proven Data Science Projects for Beginners (Kaggle),2020-02-17T14:00:04Z,324708,17711,525,2020-02-17,525,Feb
213,Data Science Advice for College Students,2020-02-14T17:22:37Z,68848,1963,197,2020-02-14,197,Feb
214,Avoid These Data Science Resume Mistakes!,2020-02-10T15:52:59Z,28294,1240,62,2020-02-10,62,Feb
